Regionskode,Regionsnavn,Kommunekode ,Kommunenavn,Ejerlavskode,Ejerlavsbetegnelse,Unikt navn
1083,Syddanmark,410,Middelfart Kommune,400351,"Å Højrup By, Brenderup","Å Højrup By, Brenderup"
1083,Syddanmark,580,Aabenraa Kommune,2008351,Aabenraa,Aabenraa
1084,Hovedstaden,400,Bornholms Kommune,1380151,Aaker,Aaker
1084,Hovedstaden,400,Bornholms Kommune,2002151,Aakirkeby Bygrunde,Aakirkeby Bygrunde
1084,Hovedstaden,400,Bornholms Kommune,2002152,Aakirkeby Markjorder,Aakirkeby Markjorder
1081,Nordjylland,851,Aalborg Kommune,2005051,Aalborg Bygrunde,Aalborg Bygrunde
1081,Nordjylland,851,Aalborg Kommune,2005053,"Aalborg Ladegård, Aalborg Jorder","Aalborg Ladegård, Aalborg Jorder"
1081,Nordjylland,851,Aalborg Kommune,610451,"Aalborg Ladegård, Hasseris","Aalborg Ladegård, Hasseris"
1081,Nordjylland,851,Aalborg Kommune,611651,"Aalborg Ladegård, Skalborg","Aalborg Ladegård, Skalborg"
1081,Nordjylland,851,Aalborg Kommune,2005052,Aalborg Markjorder,Aalborg Markjorder
1081,Nordjylland,820,Vesthimmerlands Kommune,761852,"Aalestrup By, Aalestrup","Aalestrup By, Aalestrup"
1081,Nordjylland,840,Rebild Kommune,610151,"Aarestrup By, Aarestrup","Aarestrup By, Aarestrup"
1081,Nordjylland,820,Vesthimmerlands Kommune,650151,"Aars By, Aars","Aars By, Aars"
1081,Nordjylland,820,Vesthimmerlands Kommune,650152,"Aars Præstegård, Aars","Aars Præstegård, Aars"
1083,Syddanmark,420,Assens Kommune,392251,"Aarup By, Aarup","Aarup By, Aarup"
1085,Sjælland,350,Lejre Kommune,61052,"Abbetved By, Kirke Såby","Abbetved By, Kirke Såby"
1085,Sjælland,360,Lolland Kommune,501251,"Abed By, Stokkemarke","Abed By, Stokkemarke"
1083,Syddanmark,550,Tønder Kommune,1490151,"Abild Ejerlav, Abild","Abild Ejerlav, Abild"
1081,Nordjylland,787,Thisted Kommune,710251,"Abildgård, Grurup","Abildgård, Grurup"
1081,Nordjylland,810,Brønderslev Kommune,560552,"Abildgård, Jerslev","Abildgård, Jerslev"
1081,Nordjylland,840,Rebild Kommune,610851,"Abildgårde, Ø. Hornum","Abildgårde, Ø. Hornum"
1081,Nordjylland,787,Thisted Kommune,691351,"Abildhave Gde., Østerild","Abildhave Gde., Østerild"
1085,Sjælland,306,Odsherred Kommune,160351,"Abildøre By, Egebjerg","Abildøre By, Egebjerg"
1085,Sjælland,360,Lolland Kommune,2002854,"Abildtorpe, Nakskov Jorder","Abildtorpe, Nakskov Jorder"
1082,Midtjylland,760,Ringkøbing-Skjern Kommune,1211251,"Abildtrup By, Vorgod","Abildtrup By, Vorgod"
1083,Syddanmark,510,Haderslev Kommune,1431051,"Abkær, Vedsted","Abkær, Vedsted"
1082,Midtjylland,751,Århus Kommune,1030751,"Åbo By, Ormslev","Åbo By, Ormslev"
1083,Syddanmark,550,Tønder Kommune,1450453,"Åbøl, Tirslund","Åbøl, Tirslund"
1083,Syddanmark,575,Vejen Kommune,1280351,"Åbølling By, Føvling","Åbølling By, Føvling"
1083,Syddanmark,420,Assens Kommune,390551,"Aborg By, Gamtofte","Aborg By, Gamtofte"
1083,Syddanmark,550,Tønder Kommune,1470252,"Abterp, Brede","Abterp, Brede"
1082,Midtjylland,751,Århus Kommune,1020151,"Åby By, Åby","Åby By, Åby (Århus Kommune)"
1081,Nordjylland,849,Jammerbugt Kommune,600152,"Åby By, Åby","Åby By, Åby (Jammerbugt Kommune)"
1082,Midtjylland,657,Herning Kommune,1190351,"Åby Gde., Avlum","Åby Gde., Avlum"
1081,Nordjylland,787,Thisted Kommune,721251,"Adbøl Gde., Vestervig","Adbøl Gde., Vestervig"
1082,Midtjylland,615,Horsens Kommune,1050651,"Addit By, Sdr. Vissing","Addit By, Sdr. Vissing"
1085,Sjælland,370,Næstved Kommune,2001653,"Åderup, Næstved Jorder","Åderup, Næstved Jorder"
1083,Syddanmark,573,Varde Kommune,1200851,"Adsbøl By, Strellev","Adsbøl By, Strellev"
1083,Syddanmark,540,Sønderborg Kommune,1530151,"Adsbøl, Gråsten-Adsbøl","Adsbøl, Gråsten-Adsbøl"
1083,Syddanmark,575,Vejen Kommune,1280551,"Adsersbøl Gde., Lindknud","Adsersbøl Gde., Lindknud"
1082,Midtjylland,746,Skanderborg Kommune,1040151,"Adslev By, Adslev","Adslev By, Adslev"
1082,Midtjylland,760,Ringkøbing-Skjern Kommune,1200155,"Ådum Kirkeby, Ådum","Ådum Kirkeby, Ådum"
1084,Hovedstaden,219,Hillerød Kommune,100855,"Æbelholtsdam, Tjæreby","Æbelholtsdam, Tjæreby"
1084,Hovedstaden,219,Hillerød Kommune,100856,"Æbelholtsvang, Tjæreby","Æbelholtsvang, Tjæreby"
1085,Sjælland,390,Vordingborg Kommune,320362,"Æbelnæs By, Damsholte","Æbelnæs By, Damsholte"
1083,Syddanmark,480,Nordfyns Kommune,370356,"Æbelø, Klinte","Æbelø, Klinte"
1083,Syddanmark,450,Nyborg Kommune,411852,"Æble By, Ørbæk","Æble By, Ørbæk"
1083,Syddanmark,492,Ærø Kommune,2004451,Ærøskøbing Bygrunde,Ærøskøbing Bygrunde
1083,Syddanmark,492,Ærø Kommune,2004452,Ærøskøbing Markjorder,Ærøskøbing Markjorder
1083,Syddanmark,630,Vejle kommune,1151051,"Ågård By, Ø. Starup","Ågård By, Ø. Starup"
1085,Sjælland,326,Kalundborg Kommune,190651,"Ågård Hgd., Gørlev","Ågård Hgd., Gørlev"
1081,Nordjylland,849,Jammerbugt Kommune,680451,"Ågård Hgd., Kettrup","Ågård Hgd., Kettrup"
1081,Nordjylland,860,Hjørring Kommune,530251,"Ågårde By, Bindslev","Ågårde By, Bindslev"
1081,Nordjylland,810,Brønderslev Kommune,551451,"Ågårde, Ørum","Ågårde, Ørum"
1081,Nordjylland,860,Hjørring Kommune,561152,"Agdrup By, Tårs","Agdrup By, Tårs"
1081,Nordjylland,851,Aalborg Kommune,601051,"Agdrup, Sulsted","Agdrup, Sulsted"
1085,Sjælland,360,Lolland Kommune,500951,"Ågeby By, Landet","Ågeby By, Landet"
1083,Syddanmark,461,Odense Kommune,340151,"Agedrup By, Agedrup","Agedrup By, Agedrup"
1081,Nordjylland,773,Morsø Kommune,740451,"Ager By, Hvidbjerg","Ager By, Hvidbjerg"
1083,Syddanmark,573,Varde Kommune,1350452,"Agerbæk By, Fåborg","Agerbæk By, Fåborg"
1083,Syddanmark,573,Varde Kommune,1330551,"Agerkrog By, Tistrup","Agerkrog By, Tistrup"
1083,Syddanmark,480,Nordfyns Kommune,370451,"Agernæs By, Krogsbølle","Agernæs By, Krogsbølle"
1083,Syddanmark,420,Assens Kommune,390351,"Agernæs, Dreslette","Agernæs, Dreslette"
1082,Midtjylland,766,Hedensted Kommune,1121251,"Agersbøl, Sindbjerg","Agersbøl, Sindbjerg"
1084,Hovedstaden,230,Rudersdal Kommune,11851,"Agershvile, Vedbæk","Agershvile, Vedbæk"
1082,Midtjylland,657,Herning Kommune,1190651,"Agerskov By, Gjellerup","Agerskov By, Gjellerup"
1082,Midtjylland,756,Ikast-Brande Kommune,1192151,"Agerskov By, Ilskov","Agerskov By, Ilskov"
1083,Syddanmark,550,Tønder Kommune,1450151,"Agerskov Ejerlav, Agerskov","Agerskov Ejerlav, Agerskov"
